, ,Label,Area,Mean_ph,XM,YM,Slice,LastIndex,PreviousCell,Background_ph,Mean_TxRed,Background_TxRed
73,74,ori_ph:0527-0394-0099:initial_folder_60_0526,766,645.381,99.804,392.972,527,0,75,878.762,405.423,404.227
74,75,ori_ph:0526-0397-0099:initial_folder_60_0525,730,643.485,98.992,397.76599999999996,526,0,76,876.187,405.647,404.67199999999997
75,76,ori_ph:0525-0398-0098:initial_folder_60_0524,710,643.91,98.81299999999999,396.38,525,0,77,877.342,405.63699999999994,404.53
76,77,ori_ph:0524-0399-0098:initial_folder_60_0523,695,641.738,99.09100000000001,397.327,524,0,78,876.2869999999999,406.36699999999996,404.147
77,78,ori_ph:0523-0399-0097:initial_folder_60_0522,669,642.865,98.417,397.97900000000004,523,0,79,878.9,406.596,404.711
78,79,ori_ph:0522-0400-0098:initial_folder_60_0521,517,640.636,98.825,398.9,522,0,80,879.552,405.975,404.457
79,80,ori_ph:0521-0400-0097:initial_folder_60_0520,532,651.945,98.463,399.909,521,0,81,877.9680000000001,406.30800000000005,404.285
80,81,ori_ph:0520-0407-0098:initial_folder_60_0519,538,633.563,99.346,405.798,520,0,82,879.332,405.649,403.916
81,82,ori_ph:0519-0407-0097:initial_folder_60_0518,497,633.577,98.62200000000001,405.35900000000004,519,0,83,875.21,406.966,404.42900000000003
82,83,ori_ph:0518-0407-0097:initial_folder_60_0517,445,639.872,98.03,406.332,518,0,84,875.7819999999999,405.48800000000006,403.939
83,84,ori_ph:0517-0408-0098:initial_folder_60_0516,445,635.328,98.46,407.695,517,0,85,875.8589999999999,406.861,404.06
84,85,ori_ph:0516-0409-0099:initial_folder_60_0515,399,623.619,99.411,407.796,516,0,86,877.868,405.20099999999996,403.92800000000005
85,86,ori_ph:0515-0413-0100:initial_folder_60_0514,409,631.929,100.59,411.89,515,0,87,877.033,406.0,404.126
86,87,ori_ph:0514-0398-0097:initial_folder_60_0513,706,626.323,99.22399999999999,396.191,514,0,88,877.301,406.642,404.084
87,88,ori_ph:0513-0401-0098:initial_folder_60_0512,673,625.315,98.943,399.44800000000004,513,0,89,875.96,405.764,404.14099999999996
88,89,ori_ph:0512-0403-0098:initial_folder_60_0511,622,629.486,99.927,402.619,512,0,90,877.183,406.458,403.98400000000004
89,90,ori_ph:0511-0403-0098:initial_folder_60_0510,565,638.17,99.023,402.466,511,0,91,877.1410000000001,406.404,404.214
90,91,ori_ph:0510-0406-0098:initial_folder_60_0509,551,639.194,99.45299999999999,406.051,510,0,92,877.699,406.528,404.295
91,92,ori_ph:0509-0408-0098:initial_folder_60_0508,472,637.434,99.175,408.139,509,0,93,877.971,406.845,403.941
92,93,ori_ph:0508-0410-0099:initial_folder_60_0507,448,641.136,100.06700000000001,410.19199999999995,508,0,94,876.303,405.42900000000003,404.223
93,94,ori_ph:0507-0409-0100:initial_folder_60_0506,414,638.203,100.821,408.551,507,0,95,878.53,405.37699999999995,403.967
94,95,ori_ph:0506-0412-0100:initial_folder_60_0505,440,646.236,100.815,411.664,506,0,96,878.0060000000001,406.452,404.374
95,96,ori_ph:0505-0398-0099:initial_folder_60_0504,809,634.1990000000001,99.79700000000001,398.13,505,0,97,876.176,405.509,403.906
96,97,ori_ph:0504-0400-0099:initial_folder_60_0503,736,639.77,98.81,399.475,504,0,98,875.365,406.505,404.066
97,98,ori_ph:0503-0401-0099:initial_folder_60_0502,703,643.211,99.18799999999999,401.594,503,0,99,876.063,404.599,404.14300000000003
98,99,ori_ph:0502-0403-0099:initial_folder_60_0501,672,644.057,99.62799999999999,403.537,502,0,100,877.2230000000001,406.574,404.061
99,100,ori_ph:0501-0405-0099:initial_folder_60_0500,631,655.09,99.109,404.35900000000004,501,0,101,877.5139999999999,406.91900000000004,404.19599999999997
100,101,ori_ph:0500-0408-0099:initial_folder_60_0499,544,650.785,100.03,407.56199999999995,500,0,102,876.5239999999999,405.934,403.54900000000004
101,102,ori_ph:0499-0406-0100:initial_folder_60_0498,557,657.206,99.891,405.958,499,0,103,876.802,405.691,403.75800000000004
102,103,ori_ph:0498-0409-0100:initial_folder_60_0497,527,665.467,100.195,408.714,498,0,104,876.041,404.892,404.035
103,104,ori_ph:0497-0407-0099:initial_folder_60_0496,538,661.002,99.766,406.842,497,0,105,877.297,405.916,403.832
104,105,ori_ph:0496-0407-0098:initial_folder_60_0495,458,655.9,99.09700000000001,406.50300000000004,496,0,106,876.321,404.902,404.25800000000004
105,106,ori_ph:0495-0389-0099:initial_folder_60_0494,1031,642.769,100.08,387.144,495,0,107,876.862,404.346,404.25
106,107,ori_ph:0494-0388-0099:initial_folder_60_0493,1048,641.298,99.491,386.545,494,0,108,876.937,405.144,404.01800000000003
107,108,ori_ph:0493-0389-0099:initial_folder_60_0492,977,643.049,99.383,388.744,493,0,109,876.7860000000001,404.514,403.945
108,109,ori_ph:0492-0391-0099:initial_folder_60_0491,992,637.08,99.16799999999999,389.596,492,0,110,877.732,405.375,403.824
109,110,ori_ph:0491-0391-0099:initial_folder_60_0490,856,637.019,99.37899999999999,389.746,491,0,111,875.798,404.995,404.27099999999996
110,111,ori_ph:0490-0393-0099:initial_folder_60_0489,792,634.529,99.23299999999999,391.171,490,0,112,876.618,406.97,404.676
111,112,ori_ph:0489-0392-0098:initial_folder_60_0488,751,626.7909999999999,98.419,392.024,489,0,113,874.885,405.526,404.211
112,113,ori_ph:0488-0393-0099:initial_folder_60_0487,796,625.553,98.561,394.126,488,0,114,874.823,406.207,404.48
113,114,ori_ph:0487-0394-0099:initial_folder_60_0486,709,625.5369999999999,99.34899999999999,394.267,487,0,115,871.2710000000001,404.914,404.17900000000003
114,115,ori_ph:0486-0389-0099:initial_folder_60_0485,640,682.998,99.166,389.235,486,0,116,1018.2130000000001,406.49699999999996,404.522
115,116,ori_ph:0485-0336-0099:initial_folder_60_0484,1198,684.4830000000001,98.169,336.194,485,0,117,1015.923,405.664,404.67800000000005
116,117,ori_ph:0484-0363-0100:initial_folder_60_0483,1163,663.672,97.944,364.25199999999995,484,0,118,1019.232,405.12699999999995,404.12300000000005
117,118,ori_ph:0483-0361-0099:initial_folder_60_0482,1102,659.7130000000001,97.708,363.019,483,0,119,1018.24,403.95599999999996,403.93300000000005
118,119,ori_ph:0482-0360-0099:initial_folder_60_0481,1100,659.814,97.795,361.01800000000003,482,0,120,1019.064,405.494,404.088
119,120,ori_ph:0481-0360-0099:initial_folder_60_0480,1119,652.818,97.632,360.25699999999995,481,0,121,1017.745,405.269,404.125
120,121,ori_ph:0480-0358-0098:initial_folder_60_0479,1081,651.226,97.71600000000001,357.93699999999995,480,0,122,1020.664,405.245,404.17800000000005
121,122,ori_ph:0479-0356-0098:initial_folder_60_0478,1059,650.738,97.366,356.25699999999995,479,0,123,1019.27,405.78,404.375
122,123,ori_ph:0478-0357-0098:initial_folder_60_0477,1043,645.266,97.488,356.869,478,0,124,1019.196,404.855,403.94800000000004
123,124,ori_ph:0477-0358-0098:initial_folder_60_0476,1063,642.75,97.45,357.587,477,0,125,1019.074,404.98199999999997,404.255
124,125,ori_ph:0476-0358-0098:initial_folder_60_0475,1048,640.1519999999999,97.55799999999999,358.42800000000005,476,0,126,1018.6669999999999,404.76,403.592
125,126,ori_ph:0475-0359-0097:initial_folder_60_0474,1030,637.462,97.265,357.98400000000004,475,0,127,1016.091,404.43800000000005,404.028
126,127,ori_ph:0474-0356-0097:initial_folder_60_0473,1014,640.589,97.45200000000001,356.13699999999994,474,0,128,1021.075,404.74199999999996,403.934
127,128,ori_ph:0473-0351-0098:initial_folder_60_0472,1020,641.004,97.586,351.149,473,0,129,1018.7919999999999,404.093,403.88300000000004
128,129,ori_ph:0472-0350-0098:initial_folder_60_0471,1010,639.2040000000001,97.83,350.03,472,0,130,1021.5830000000001,405.298,404.01599999999996
129,130,ori_ph:0471-0348-0097:initial_folder_60_0470,995,640.861,97.77799999999999,347.60900000000004,471,0,131,1019.0110000000001,405.67400000000004,404.936
130,131,ori_ph:0470-0347-0098:initial_folder_60_0469,987,639.303,97.948,346.82300000000004,470,0,132,1019.181,403.97900000000004,404.064
131,132,ori_ph:0469-0348-0098:initial_folder_60_0468,956,641.225,97.777,346.958,469,0,133,1020.253,405.76599999999996,404.04
132,133,ori_ph:0468-0346-0097:initial_folder_60_0467,959,639.206,97.456,345.523,468,0,134,1018.3560000000001,404.624,403.625
133,134,ori_ph:0467-0345-0097:initial_folder_60_0466,977,643.086,97.354,344.42800000000005,467,0,135,1019.0089999999999,404.626,403.63599999999997
134,135,ori_ph:0466-0345-0098:initial_folder_60_0465,963,642.861,97.73700000000001,344.454,466,0,136,1018.967,405.70099999999996,404.17699999999996
135,136,ori_ph:0465-0344-0097:initial_folder_60_0464,967,648.493,97.365,343.975,465,0,137,1019.5060000000001,403.97900000000004,403.36
136,137,ori_ph:0464-0344-0098:initial_folder_60_0463,953,644.752,97.63799999999999,343.24699999999996,464,0,138,1020.035,404.593,403.791
137,138,ori_ph:0463-0343-0098:initial_folder_60_0462,951,644.018,97.667,342.44199999999995,463,0,139,1017.311,404.846,403.80400000000003
138,139,ori_ph:0462-0342-0097:initial_folder_60_0461,917,645.691,97.68,342.006,462,0,140,1017.5260000000001,404.721,404.005
139,140,ori_ph:0461-0341-0097:initial_folder_60_0460,931,645.4490000000001,97.721,340.999,461,0,141,1019.217,405.037,403.561
140,141,ori_ph:0460-0338-0098:initial_folder_60_0459,938,647.325,98.214,338.31800000000004,460,0,142,1019.051,404.79400000000004,403.534
141,142,ori_ph:0459-0342-0097:initial_folder_60_0458,922,649.7769999999999,97.71799999999999,341.30199999999996,459,0,143,1018.806,404.227,403.962
142,143,ori_ph:0458-0342-0098:initial_folder_60_0457,918,647.548,97.814,341.519,458,0,144,1020.709,404.426,403.833
143,144,ori_ph:0457-0342-0097:initial_folder_60_0456,932,648.044,97.595,341.635,457,0,145,1018.778,404.469,403.87699999999995
144,145,ori_ph:0456-0342-0097:initial_folder_60_0455,935,650.092,97.516,342.25800000000004,456,0,146,1015.933,403.881,403.543
145,146,ori_ph:0455-0343-0098:initial_folder_60_0454,923,648.891,97.696,342.296,455,0,147,1017.84,404.19300000000004,403.81
146,147,ori_ph:0454-0342-0098:initial_folder_60_0453,925,653.768,97.6,341.811,454,0,148,1020.465,404.046,403.75800000000004
147,148,ori_ph:0453-0342-0097:initial_folder_60_0452,889,654.748,97.78399999999999,342.96,453,0,149,1017.5169999999999,404.105,403.914
148,149,ori_ph:0452-0347-0097:initial_folder_60_0451,902,651.586,97.50399999999999,346.694,452,0,150,1018.051,404.009,403.379
149,150,ori_ph:0451-0345-0097:initial_folder_60_0450,860,652.23,97.367,344.885,451,0,151,1017.6510000000001,404.967,404.43199999999996
150,151,ori_ph:0450-0346-0097:initial_folder_60_0449,887,656.502,97.589,345.26099999999997,450,0,152,1014.193,404.74199999999996,404.764
151,152,ori_ph:0449-0348-0097:initial_folder_60_0448,910,646.8580000000001,97.571,345.841,449,0,153,1016.087,406.67400000000004,404.73400000000004
152,153,ori_ph:0448-0346-0097:initial_folder_60_0447,876,662.175,97.539,345.978,448,0,154,1013.757,404.605,404.13
153,154,ori_ph:0447-0346-0097:initial_folder_60_0446,888,652.507,97.514,345.67699999999996,447,0,155,1014.783,405.55,404.031
154,155,ori_ph:0446-0350-0098:initial_folder_60_0445,864,652.3,98.135,348.68800000000005,446,0,156,1014.9989999999999,405.602,404.971
155,156,ori_ph:0445-0361-0098:initial_folder_60_0444,955,610.497,97.76700000000001,360.905,445,0,157,826.09,406.458,404.89099999999996
156,157,ori_ph:0444-0361-0098:initial_folder_60_0443,930,613.128,97.67,359.589,444,0,158,826.346,406.426,405.125
157,158,ori_ph:0443-0361-0098:initial_folder_60_0442,916,614.106,97.925,360.55300000000005,443,0,159,827.6389999999999,407.24199999999996,405.76
158,159,ori_ph:0442-0361-0098:initial_folder_60_0441,887,610.928,97.682,359.335,442,0,160,826.449,408.26199999999994,407.24800000000005
159,160,ori_ph:0441-0361-0098:initial_folder_60_0440,926,612.383,97.92399999999999,360.309,441,0,161,828.283,407.111,405.17199999999997
160,161,ori_ph:0440-0360-0098:initial_folder_60_0439,927,612.827,97.81,359.855,440,0,162,830.1080000000001,408.10400000000004,406.92400000000004
161,162,ori_ph:0439-0360-0098:initial_folder_60_0438,904,614.622,97.852,359.594,439,0,163,826.855,406.199,405.194
162,163,ori_ph:0438-0362-0098:initial_folder_60_0437,919,612.4490000000001,97.979,361.35400000000004,438,0,164,830.7719999999999,407.44300000000004,406.166
163,164,ori_ph:0437-0360-0098:initial_folder_60_0436,918,613.8919999999999,97.895,360.144,437,0,165,828.558,405.955,405.2
164,165,ori_ph:0436-0361-0098:initial_folder_60_0435,935,614.814,98.041,359.8,436,0,166,830.0239999999999,405.582,404.898
165,166,ori_ph:0435-0360-0097:initial_folder_60_0434,902,613.471,97.88,360.347,435,0,167,832.3789999999999,406.147,404.52
166,167,ori_ph:0434-0360-0099:initial_folder_60_0433,923,616.163,98.00399999999999,360.30199999999996,434,0,168,833.55,405.30300000000005,404.384
167,168,ori_ph:0433-0359-0098:initial_folder_60_0432,892,618.759,97.866,358.45300000000003,433,0,169,837.1,405.55400000000003,405.055
168,169,ori_ph:0432-0353-0098:initial_folder_60_0431,849,625.515,97.82799999999999,351.483,432,0,170,856.334,406.005,406.077
169,170,ori_ph:0431-0361-0097:initial_folder_60_0430,835,613.044,97.728,359.949,431,0,171,808.727,405.392,405.11
170,171,ori_ph:0430-0360-0098:initial_folder_60_0429,839,613.4119999999999,98.04299999999999,359.786,430,0,172,806.074,405.962,405.077
171,172,ori_ph:0429-0360-0098:initial_folder_60_0428,896,611.1659999999999,98.167,359.629,429,0,173,806.908,405.642,404.899
172,173,ori_ph:0428-0360-0098:initial_folder_60_0427,853,614.294,98.037,360.22,428,0,174,807.5169999999999,404.68699999999995,405.065
173,174,ori_ph:0427-0360-0098:initial_folder_60_0426,870,611.153,98.037,360.051,427,0,175,807.075,405.42199999999997,404.94800000000004
174,175,ori_ph:0426-0360-0098:initial_folder_60_0425,864,612.424,97.831,360.147,426,0,176,808.727,405.255,405.204
175,176,ori_ph:0425-0360-0098:initial_folder_60_0424,862,612.72,97.976,359.68199999999996,425,0,177,807.525,405.306,405.344
176,177,ori_ph:0424-0360-0097:initial_folder_60_0423,906,612.0509999999999,97.87,359.39599999999996,424,0,178,807.578,405.663,405.099
177,178,ori_ph:0423-0359-0098:initial_folder_60_0422,841,614.533,98.081,359.519,423,0,179,807.1510000000001,405.50300000000004,405.27099999999996
178,179,ori_ph:0422-0359-0098:initial_folder_60_0421,878,611.817,97.854,358.793,422,0,180,809.304,406.269,405.2
179,180,ori_ph:0421-0360-0098:initial_folder_60_0420,857,616.597,97.806,359.417,421,0,181,809.1080000000001,405.699,405.32199999999995
180,181,ori_ph:0420-0360-0098:initial_folder_60_0419,818,617.43,97.56299999999999,360.035,420,0,182,808.446,405.66,405.25199999999995
181,182,ori_ph:0419-0360-0097:initial_folder_60_0418,784,616.376,97.55799999999999,358.842,419,0,183,807.7280000000001,405.26099999999997,405.475
182,183,ori_ph:0418-0359-0098:initial_folder_60_0417,878,610.408,97.81200000000001,359.074,418,0,184,810.302,405.923,405.005
183,184,ori_ph:0417-0359-0098:initial_folder_60_0416,847,615.906,97.897,358.917,417,0,185,808.674,405.059,405.173
184,185,ori_ph:0416-0359-0098:initial_folder_60_0415,910,612.3430000000001,98.285,358.527,416,0,186,809.671,405.075,404.915
185,186,ori_ph:0415-0359-0098:initial_folder_60_0414,897,611.557,98.12299999999999,358.289,415,0,187,811.015,405.332,405.26599999999996
186,187,ori_ph:0414-0358-0098:initial_folder_60_0413,888,612.72,97.991,358.147,414,0,188,807.793,404.89,404.897
187,188,ori_ph:0413-0359-0098:initial_folder_60_0412,852,615.869,97.775,359.046,413,0,189,809.346,405.35400000000004,404.958
188,189,ori_ph:0412-0359-0098:initial_folder_60_0411,843,615.849,98.035,358.73699999999997,412,0,190,810.477,404.651,405.042
189,190,ori_ph:0411-0358-0098:initial_folder_60_0410,883,613.085,97.958,358.538,411,0,191,809.377,405.191,404.983
190,191,ori_ph:0410-0359-0098:initial_folder_60_0409,851,615.987,97.96,357.905,410,0,192,809.878,404.905,405.218
191,192,ori_ph:0409-0358-0098:initial_folder_60_0408,873,612.1659999999999,98.021,357.608,409,0,193,811.0980000000001,405.225,405.13800000000003
192,193,ori_ph:0408-0358-0098:initial_folder_60_0407,880,617.96,98.041,357.531,408,0,194,810.375,405.809,404.92199999999997
193,194,ori_ph:0407-0359-0098:initial_folder_60_0406,853,616.689,97.93,359.084,407,0,195,810.304,405.13699999999994,405.061
194,195,ori_ph:0406-0358-0098:initial_folder_60_0405,891,614.403,97.932,358.366,406,0,196,811.316,406.05300000000005,405.566
195,196,ori_ph:0405-0358-0098:initial_folder_60_0404,852,617.752,97.931,358.337,405,0,197,810.632,405.56699999999995,405.22900000000004
196,197,ori_ph:0404-0357-0098:initial_folder_60_0403,886,617.696,97.874,357.725,404,0,198,811.067,404.625,405.165
197,198,ori_ph:0403-0358-0098:initial_folder_60_0402,851,615.082,97.885,357.871,403,0,199,810.165,405.15,405.245
198,199,ori_ph:0402-0357-0098:initial_folder_60_0401,877,612.143,97.76100000000001,357.24,402,0,200,811.7760000000001,406.181,405.462
199,200,ori_ph:0401-0358-0098:initial_folder_60_0400,867,615.104,98.09700000000001,357.931,401,0,201,813.225,404.506,405.51199999999994
200,201,ori_ph:0400-0357-0098:initial_folder_60_0399,858,614.451,97.76,357.29400000000004,400,0,202,812.2869999999999,405.639,405.06300000000005
201,202,ori_ph:0399-0357-0097:initial_folder_60_0398,859,613.135,97.6,356.89,399,0,203,811.11,405.714,405.36
