Slice,Area,file,id_number,TxRed,YFP,integrated_old
172,1051,2001,0,307.68100000000004,294.66299999999995,294.66299999999995
171,1050,2001,0,304.05100000000004,300.14000000000004,300.14000000000004
170,1040,2001,0,303.706,300.01199999999994,300.01199999999994
169,1019,2001,0,302.035,300.4949999999999,300.4949999999999
168,1003,2001,0,300.1899999999999,295.71700000000004,295.71700000000004
167,996,2001,0,291.98199999999997,293.20300000000003,293.20300000000003
166,992,2001,0,288.2729999999999,289.26399999999995,289.26399999999995
165,978,2001,0,285.64399999999995,288.937,288.937
164,956,2001,0,287.79299999999995,287.4790000000001,287.4790000000001
163,930,2001,0,288.23299999999995,293.92,293.92
162,942,2001,0,287.14099999999996,289.63300000000004,289.63300000000004
161,912,2001,0,293.944,296.94200000000006,296.94200000000006
160,898,2001,0,292.92599999999993,304.45899999999995,304.45899999999995
159,898,2001,0,296.0350000000001,298.5549999999999,298.5549999999999
158,868,2001,0,301.14599999999996,305.695,305.695
157,866,2001,0,304.85300000000007,303.40199999999993,303.40199999999993
156,864,2001,0,311.81199999999995,307.58899999999994,307.58899999999994
155,847,2001,0,312.05600000000004,311.184,311.184
154,834,2001,0,316.92499999999995,310.5829999999999,310.5829999999999
153,815,2001,0,319.47700000000003,316.228,316.228
152,824,2001,0,319.041,313.69899999999996,313.69899999999996
151,801,2001,0,324.138,317.05799999999994,317.05799999999994
150,779,2001,0,334.37399999999997,323.68300000000005,323.68300000000005
149,743,2001,0,330.80400000000003,321.92499999999995,321.92499999999995
148,731,2001,0,333.89599999999996,325.58000000000004,325.58000000000004
147,744,2001,0,336.658,317.21,317.21
146,736,2001,0,341.92300000000006,326.132,326.132
145,739,2001,0,335.26,322.1309999999999,322.1309999999999
144,712,2001,0,349.7489999999999,328.117,328.117
143,701,2001,0,341.33000000000004,326.40600000000006,326.40600000000006
142,689,2001,0,349.4819999999999,324.28099999999995,324.28099999999995
141,698,2001,0,341.04999999999995,324.21,324.21
140,675,2001,0,347.716,327.824,327.824
139,679,2001,0,347.8089999999999,325.7660000000001,325.7660000000001
138,670,2001,0,344.181,323.3749999999999,323.3749999999999
137,660,2001,0,349.652,333.065,333.065
136,612,2001,0,363.0609999999999,333.881,333.881
135,581,2001,0,345.98499999999996,320.13300000000004,320.13300000000004
134,594,2001,0,339.35299999999995,314.35,314.35
133,576,2001,0,343.30400000000003,314.088,314.088
132,552,2001,0,345.389,320.338,320.338
131,579,2001,0,345.86800000000005,319.229,319.229
130,566,2001,0,342.969,314.01000000000005,314.01000000000005
129,559,2001,0,350.2250000000001,318.6299999999999,318.6299999999999
128,547,2001,0,352.01899999999995,321.75699999999995,321.75699999999995
127,1113,2001,0,365.11899999999997,337.3310000000001,337.3310000000001
126,1081,2001,0,370.1060000000001,344.05899999999997,344.05899999999997
125,1101,2001,0,371.642,341.60200000000003,341.60200000000003
124,1062,2001,0,371.3250000000001,341.232,341.232
123,1063,2001,0,366.77699999999993,342.023,342.023
122,1057,2001,0,371.42300000000006,343.403,343.403
121,1021,2001,0,377.514,347.34099999999995,347.34099999999995
120,1021,2001,0,366.89599999999996,336.355,336.355
119,1018,2001,0,357.32800000000003,328.237,328.237
118,1012,2001,0,337.37299999999993,303.45000000000005,303.45000000000005
117,982,2001,0,359.60099999999994,328.123,328.123
116,1035,2001,0,357.983,325.0510000000001,325.0510000000001
115,997,2001,0,355.64,325.514,325.514
114,965,2001,0,357.68499999999995,325.28000000000003,325.28000000000003
113,955,2001,0,354.73299999999995,319.8710000000001,319.8710000000001
112,942,2001,0,362.07199999999995,328.39399999999995,328.39399999999995
111,922,2001,0,362.4620000000001,326.43399999999997,326.43399999999997
110,903,2001,0,357.10799999999995,326.7600000000001,326.7600000000001
109,896,2001,0,361.654,322.886,322.886
108,911,2001,0,355.62300000000005,312.5959999999999,312.5959999999999
107,892,2001,0,356.14,314.608,314.608
106,879,2001,0,352.39900000000006,309.654,309.654
105,872,2001,0,350.12700000000007,309.7039999999999,309.7039999999999
104,846,2001,0,349.292,308.88400000000007,308.88400000000007
103,828,2001,0,348.995,305.86400000000003,305.86400000000003
102,813,2001,0,349.12899999999996,307.63500000000005,307.63500000000005
101,811,2001,0,344.657,309.232,309.232
100,802,2001,0,345.92500000000007,298.19899999999996,298.19899999999996
99,786,2001,0,342.65199999999993,302.088,302.088
98,768,2001,0,341.423,305.203,305.203
97,750,2001,0,342.16800000000006,307.46700000000004,307.46700000000004
96,731,2001,0,344.86999999999995,316.9189999999999,316.9189999999999
95,730,2001,0,350.622,315.57099999999997,315.57099999999997
94,686,2001,0,343.953,319.20099999999996,319.20099999999996
93,684,2001,0,347.50199999999995,322.82099999999997,322.82099999999997
92,594,2001,0,369.152,355.82000000000005,355.82000000000005
91,577,2001,0,365.42500000000007,357.852,357.852
90,578,2001,0,351.87499999999994,345.06800000000004,345.06800000000004
89,582,2001,0,357.5950000000001,352.05100000000004,352.05100000000004
88,548,2001,0,363.488,353.08700000000005,353.08700000000005
