No,Index,Frame,Age,Div_Age,Generation_time
,1,1020,27,10,92
,1,1046,28,11,52
,1,1088,29,12,84
,1,1133,30,13,90
,1,1169,31,14,72
,1,1183,32,15,28
,1,1200,33,16,34
,,,,,
12_2,-1,34,0,-18,130
,-1,99,1,-17,22
,-1,110,2,-16,38
,-1,129,3,-15,60
,-1,159,4,-14,66
,-1,192,5,-13,50
,-1,217,6,-12,66
,-1,250,7,-11,60
,-1,280,8,-10,98
,-1,329,9,-9,54
,-1,356,10,-8,80
,-1,396,11,-7,46
,-1,419,12,-6,54
,-1,446,13,-5,54
,-1,473,14,-4,48
,-1,497,15,-3,68
,-1,531,16,-2,50
,-1,556,17,-1,64
,-1,588,18,0,
,1,621,19,0,
,1,651,20,1,60
,1,674,21,2,46
,1,707,22,3,66
,1,735,23,4,56
,1,785,24,5,100
,1,810,25,6,50
,,,,,
12_3,-1,19,0,-15,58
,-1,48,1,-14,90
,-1,93,2,-13,32
,-1,109,3,-12,146
,-1,182,4,-11,62
,-1,213,5,-10,106
,-1,266,6,-9,30
,-1,281,7,-8,46
,-1,304,8,-7,68
,-1,338,9,-6,56
,-1,366,10,-5,78
,-1,405,11,-4,56
,-1,433,12,-3,76
,-1,471,13,-2,84
,-1,513,14,-1,114
,-1,570,15,0,
,1,638,16,0,
,1,685,17,1,94
,1,724,18,2,78
,1,752,19,3,56
,1,783,20,4,62
,1,808,21,5,50
,1,824,22,6,32
,1,845,23,7,42
,,,,,
14_1,-1,5,0,-16,62
,-1,36,1,-15,66
,-1,69,2,-14,104
,-1,121,3,-13,168
,-1,205,4,-12,86
,-1,248,5,-11,90
,-1,293,6,-10,66
,-1,326,7,-9,62
,-1,357,8,-8,50
,-1,382,9,-7,58
,-1,411,10,-6,60
,-1,441,11,-5,72
,-1,477,12,-4,78
,-1,516,13,-3,44
,-1,538,14,-2,54
,-1,565,15,-1,64
,-1,597,16,0,
,1,631,17,0,
,1,662,18,1,62
,1,700,19,2,76
,1,733,20,3,66
,1,766,21,4,66
,1,786,22,5,40
,,,,,
16_1,-1,26,0,-18,70
,-1,61,1,-17,76
,-1,99,2,-16,50
,-1,124,3,-15,62
,-1,155,4,-14,90
,-1,200,5,-13,54
,-1,227,6,-12,74
,-1,264,7,-11,46
,-1,287,8,-10,50
,-1,312,9,-9,88
,-1,356,10,-8,52
,-1,382,11,-7,68
,-1,416,12,-6,64
,-1,448,13,-5,56
,-1,476,14,-4,50
,-1,501,15,-3,82
,-1,542,16,-2,48
,-1,566,17,-1,50
,-1,591,18,0,
,0,609,19,,
,1,627,20,0,
,1,660,21,1,66
,1,700,22,2,80
,1,737,23,3,74
,1,761,24,4,48
,1,794,25,5,66
,1,829,26,6,70
,1,900,27,7,142
,1,967,28,8,134
,1,994,29,9,54
,1,1019,30,10,50
,1,1056,31,11,74
,1,1092,32,12,72
,1,1118,33,13,52
,1,1143,34,14,50
,1,1169,35,15,52
,1,1193,36,16,48
,,,,,
16_2,-1,17,0,-17,56
,-1,45,1,-16,58
,-1,74,2,-15,90
,-1,119,3,-14,62
,-1,150,4,-13,106
,-1,203,5,-12,58
,-1,232,6,-11,50
,-1,257,7,-10,58
,-1,286,8,-9,46
,-1,309,9,-8,38
,-1,328,10,-7,78
,-1,367,11,-6,70
,-1,402,12,-5,56
,-1,430,13,-4,112
,-1,486,14,-3,52
