No,Index,Frame,Age,Div_Age,Generation_time
,-1,300,6,-7,70
,-1,335,7,-6,70
,-1,370,8,-5,102
,-1,421,9,-4,54
,-1,448,10,-3,56
,-1,476,11,-2,148
,-1,550,12,-1,94
,-1,597,13,0,
,0,611,14,0,
,1,656,15,0,
,1,707,16,1,102
,1,738,17,2,62
,1,780,18,3,84
,1,819,19,4,78
,1,843,20,5,48
,1,884,21,6,82
,1,914,22,7,60
,1,939,23,8,50
,1,990,24,9,102
,1,1037,25,10,94
,1,1072,26,11,70
,1,1113,27,12,82
,1,1171,28,13,116
,1,1201,29,14,60
,1,1220,30,15,38
,1,1244,31,16,48
,1,1264,32,17,40
,1,1297,33,18,66
,,,,,
16_1,-1,31,0,-12,68
,-1,65,1,-11,82
,-1,106,2,-10,140
,-1,176,3,-9,72
,-1,212,4,-8,76
,-1,250,5,-7,92
,-1,296,6,-6,154
,-1,373,7,-5,108
,-1,427,8,-4,90
,-1,472,9,-3,68
,-1,506,10,-2,90
,-1,551,11,-1,58
,-1,580,12,0,
,1,629,13,0,
,1,668,14,1,78
,1,728,15,2,120
,1,762,16,3,68
,1,797,17,4,70
,1,834,18,5,74
,1,859,19,6,50
,1,892,20,7,66
,,,,,
16_2,-1,28,0,-12,154
,-1,105,1,-11,106
,-1,158,2,-10,122
,-1,219,3,-9,24
,-1,231,4,-8,114
,-1,288,5,-7,70
,-1,323,6,-6,138
,-1,392,7,-5,72
,-1,428,8,-4,70
,-1,463,9,-3,98
,-1,512,10,-2,62
,-1,543,11,-1,82
,-1,584,12,0,
,1,636,13,0,
,1,662,14,1,52
,1,703,15,2,82
,1,735,16,3,64
,1,760,17,4,50
,1,802,18,5,84
,1,872,19,6,140
,,,,,
16_3,-1,33,0,-11,86
,-1,76,1,-10,154
,-1,153,2,-9,66
,-1,186,3,-8,54
,-1,213,4,-7,80
,-1,253,5,-6,126
,-1,316,6,-5,90
,-1,361,7,-4,74
,-1,398,8,-3,110
,-1,453,9,-2,90
,-1,498,10,-1,182
,-1,589,11,0,
,1,627,12,0,
,1,653,13,1,52
,1,686,14,2,66
,1,726,15,3,80
,1,758,16,4,64
,1,796,17,5,76
,1,864,18,6,136
,,,,,
17_1,-1,36,0,-11,70
,-1,71,1,-10,84
,-1,113,2,-9,94
,-1,160,3,-8,78
,-1,199,4,-7,34
,-1,216,5,-6,64
,-1,248,6,-5,118
,-1,307,7,-4,92
,-1,353,8,-3,98
,-1,402,9,-2,158
,-1,481,10,-1,68
,-1,515,11,0,
,1,632,12,0,
,1,659,13,1,54
,1,700,14,2,82
,1,736,15,3,72
,1,791,16,4,110
,1,820,17,5,58
,1,863,18,6,86
,1,899,19,7,72
,1,927,20,8,56
