Slice,Area,file,id_number,TxRed
126,595,0222,2,43.567999999999984
125,572,0222,2,39.172000000000025
124,530,0222,2,39.18300000000005
123,473,0222,2,37.84700000000004
122,469,0222,2,36.71500000000003
121,392,0222,2,36.11400000000009
120,620,0222,2,42.50299999999993
119,591,0222,2,41.275000000000034
118,515,0222,2,42.07299999999998
117,511,0222,2,40.48799999999994
116,446,0222,2,37.62199999999996
115,407,0222,2,39.519000000000005
114,692,0222,2,41.94900000000001
113,622,0222,2,34.55500000000001
112,560,0222,2,37.057999999999936
111,534,0222,2,33.44400000000002
110,493,0222,2,31.39399999999995
109,416,0222,2,30.229000000000042
108,711,0222,2,27.76800000000003
107,651,0222,2,27.897999999999968
106,521,0222,2,29.692000000000064
105,835,0222,2,25.47300000000007
104,748,0222,2,27.391000000000076
103,597,0222,2,25.519999999999982
102,1156,0222,2,30.983000000000004
101,1039,0222,2,32.40199999999999
100,914,0222,2,34.73700000000002
99,814,0222,2,34.377999999999986
98,721,0222,2,31.52600000000001
97,1113,0222,2,38.37800000000004
96,1000,0222,2,36.214
95,909,0222,2,34.745000000000005
94,821,0222,2,35.25299999999993
93,734,0222,2,36.35400000000004
92,639,0222,2,40.15700000000004
91,575,0222,2,37.98000000000002
90,1135,0222,2,49.59599999999995
89,1036,0222,2,49.740999999999985
88,965,0222,2,47.91799999999995
87,891,0222,2,46.283000000000015
86,837,0222,2,44.86700000000002
85,791,0222,2,42.132000000000005
84,761,0222,2,40.79899999999998
83,717,0222,2,41.60200000000003
82,681,0222,2,38.724999999999966
81,574,0222,2,41.089
80,920,0222,2,45.267999999999915
79,853,0222,2,43.891999999999996
78,796,0222,2,41.668000000000006
77,735,0222,2,41.81400000000002
76,673,0222,2,40.13299999999998
75,561,0222,2,45.222000000000094
74,937,0222,2,44.690999999999974
73,834,0222,2,45.53299999999996
72,767,0222,2,43.02999999999997
71,678,0222,2,46.761999999999944
70,603,0222,2,44.04599999999999
69,573,0222,2,42.402000000000044
68,899,0222,2,41.627999999999986
67,814,0222,2,42.37099999999998
66,720,0222,2,43.906000000000006
65,647,0222,2,39.23400000000004
64,601,0222,2,37.726
63,540,0222,2,39.968999999999994
62,843,0222,2,42.579000000000065
61,730,0222,2,42.05699999999996
60,665,0222,2,41.30400000000003
59,601,0222,2,40.599999999999966
58,543,0222,2,38.067000000000064
57,486,0222,2,39.70799999999991
56,720,0222,2,41.64199999999994
55,644,0222,2,39.13700000000006
54,581,0222,2,40.21799999999996
53,545,0222,2,34.547000000000025
52,454,0222,2,35.98900000000003
51,392,0222,2,34.476999999999975
50,675,0222,2,33.79299999999995
49,594,0222,2,32.843999999999994
48,498,0222,2,31.221000000000004
47,480,0222,2,32.84500000000003
46,391,0222,2,29.96199999999999
45,670,0222,2,31.209000000000003
44,586,0222,2,32.69999999999999
43,528,0222,2,30.30000000000001
42,447,0222,2,31.432999999999993
41,753,0222,2,24.89399999999995
40,679,0222,2,26.948000000000036
39,645,0222,2,25.920999999999992
38,592,0222,2,28.898000000000025
37,1057,0222,2,37.613999999999976
36,974,0222,2,40.41200000000009
35,880,0222,2,40.13799999999998
34,815,0222,2,43.08299999999991
33,572,0222,2,-49.53600000000006
32,489,0222,2,-38.64500000000044
31,391,0222,2,-38.42099999999846
30,566,0222,2,32.658000000000015
29,1001,0222,2,40.93900000000002
28,951,0222,2,40.924999999999955
27,879,0222,2,41.045000000000016
26,763,0222,2,42.912999999999954
25,698,0222,2,40.349999999999966
24,627,0222,2,41.82699999999994
23,543,0222,2,41.61700000000002
22,525,0222,2,43.599999999999966
21,489,0222,2,42.733999999999924
20,448,0222,2,38.934000000000026
19,424,0222,2,45.988
18,396,0222,2,42.910999999999945
17,362,0222,2,51.69399999999996
16,308,0222,2,54.545000000000016
15,714,0222,2,69.84800000000001
14,668,0222,2,68.36100000000005
13,611,0222,2,70.59699999999992
12,1172,0222,2,80.80200000000008
11,1083,0222,2,79.269
10,1014,0222,2,76.517
9,904,0222,2,76.23199999999997
8,806,0222,2,75.25699999999995
7,751,0222,2,74.37299999999999
6,700,0222,2,66.20299999999997
5,645,0222,2,61.24000000000001
4,606,0222,2,56.01499999999993
3,568,0222,2,53.50899999999996
2,889,0222,2,55.656000000000006
1,796,0222,2,50.771999999999935
