No,Index,Frame,Age,Div_Age,Generation_time
,-1,440,11,-7,72
,-1,476,12,-6,22
,-1,487,13,-5,42
,-1,508,14,-4,34
,-1,525,15,-3,26
,-1,538,16,-2,44
,-1,560,17,-1,60
,-1,590,18,0,
,1,640,19,0,
,1,666,20,1,52
,1,694,21,2,56
,1,733,22,3,78
,1,773,23,4,80
,1,855,24,5,164
,1,883,25,6,56
,1,908,26,7,50
,1,926,27,8,36
,1,945,28,9,38
,1,975,29,10,60
,1,996,30,11,42
,1,1017,31,12,42
,1,1066,32,13,98
,1,1100,33,14,68
,1,1189,34,15,178
,1,1215,35,16,52
,,,,,
3_4,-1,15,0,-16,50
,-1,40,1,-15,50
,-1,65,2,-14,52
,-1,91,3,-13,56
,-1,119,4,-12,56
,-1,147,5,-11,62
,-1,178,6,-10,70
,-1,213,7,-9,46
,-1,236,8,-8,60
,-1,266,9,-7,90
,-1,311,10,-6,98
,-1,360,11,-5,92
,-1,406,12,-4,72
,-1,442,13,-3,90
,-1,487,14,-2,70
,-1,522,15,-1,52
,-1,548,16,0,
,0,609,17,,
,1,667,18,0,
,1,683,19,1,32
,1,703,20,2,40
,1,726,21,3,46
,1,760,22,4,68
,1,790,23,5,60
,1,817,24,6,54
,1,867,25,7,100
,1,913,26,8,92
,1,948,27,9,70
,1,977,28,10,58
,1,1021,29,11,88
,1,1042,30,12,42
,1,1061,31,13,38
,1,1083,32,14,44
,1,1108,33,15,50
,1,1137,34,16,58
,1,1172,35,17,70
,1,1215,36,18,86
,,,,,
3_5,-1,17,0,-19,82
,-1,58,1,-18,58
,-1,87,2,-17,78
,-1,126,3,-16,82
,-1,167,4,-15,70
,-1,202,5,-14,48
,-1,226,6,-13,46
,-1,249,7,-12,34
,-1,266,8,-11,50
,-1,291,9,-10,76
,-1,329,10,-9,86
,-1,372,11,-8,58
,-1,401,12,-7,54
,-1,428,13,-6,72
,-1,464,14,-5,48
,-1,488,15,-4,76
,-1,526,16,-3,50
,-1,551,17,-2,30
,-1,566,18,-1,48
,-1,590,19,0,
,1,625,20,0,
,1,645,21,1,40
,1,688,22,2,86
,1,720,23,3,64
,1,749,24,4,58
,1,787,25,5,76
,1,808,26,6,42
,1,838,27,7,60
,1,877,28,8,78
