No,Index,Frame,Age,Div_Age,Generation_time
,-1,434,11,-3,124
,-1,496,12,-2,72
,-1,532,13,-1,72
,-1,568,14,0,
,0,609,15,0,
,1,651,16,0,
,1,699,17,1,96
,1,742,18,2,86
,1,801,19,3,118
,1,872,20,4,142
,1,892,21,5,40
,,,,,
15_1,-1,25,0,-12,68
,-1,59,1,-11,84
,-1,101,2,-10,78
,-1,140,3,-9,146
,-1,213,4,-8,86
,-1,256,5,-7,80
,-1,296,6,-6,236
,-1,414,7,-5,58
,-1,443,8,-4,48
,-1,467,9,-3,88
,-1,511,10,-2,90
,-1,556,11,-1,74
,-1,593,12,0,
,1,648,13,0,
,1,697,14,1,98
,1,740,15,2,86
,1,778,16,3,76
,1,850,17,4,144
,1,958,18,5,216
,1,996,19,6,76
,1,1013,20,7,34
,,,,,
15_2,-1,25,0,-12,124
,-1,87,1,-11,34
,-1,104,2,-10,46
,-1,127,3,-9,66
,-1,160,4,-8,174
,-1,247,5,-7,66
,-1,280,6,-6,78
,-1,319,7,-5,100
,-1,369,8,-4,96
,-1,417,9,-3,102
,-1,468,10,-2,106
,-1,521,11,-1,106
,-1,574,12,0,
,1,661,13,0,
,1,698,14,1,74
,1,745,15,2,94
,1,794,16,3,98
,1,845,17,4,102
,1,899,18,5,108
,1,968,19,6,138
,1,1023,20,7,110
,1,1074,21,8,102
,1,1128,22,9,108
,1,1193,23,10,130
,,,,,
15_3,-1,11,0,-13,50
,-1,36,1,-12,84
,-1,78,2,-11,80
,-1,118,3,-10,82
,-1,159,4,-9,156
,-1,237,5,-8,68
,-1,271,6,-7,62
,-1,302,7,-6,72
,-1,338,8,-5,92
,-1,384,9,-4,84
,-1,426,10,-3,78
,-1,465,11,-2,150
,-1,540,12,-1,70
,-1,575,13,0,
,1,649,14,0,
,1,691,15,1,84
,1,752,16,2,122
,1,800,17,3,96
,1,832,18,4,64
,1,867,19,5,70
,1,904,20,6,74
,1,946,21,7,84
,1,1031,22,8,170
,1,1061,23,9,60
,1,1093,24,10,64
,1,1134,25,11,82
,1,1185,26,12,102
,,,,,
15_4,-1,12,0,-14,64
,-1,44,1,-13,56
,-1,72,2,-12,120
,-1,132,3,-11,62
,-1,163,4,-10,78
,-1,202,5,-9,72
,-1,238,6,-8,120
,-1,298,7,-7,52
,-1,324,8,-6,90
,-1,369,9,-5,86
,-1,412,10,-4,132
,-1,478,11,-3,76
,-1,516,12,-2,52
,-1,542,13,-1,76
,-1,580,14,0,
,0,615,15,0,
,1,665,16,0,
,1,708,17,1,86
,1,753,18,2,90
,1,793,19,3,80
,1,815,20,4,44
,1,851,21,5,72
,1,891,22,6,80
,1,917,23,7,52
,1,950,24,8,66
,1,976,25,9,52
,1,1027,26,10,102
,1,1057,27,11,60
,1,1099,28,12,84
,1,1148,29,13,98
,,,,,
16_1,-1,12,0,-13,82
,-1,53,1,-12,66
,-1,86,2,-11,86
,-1,129,3,-10,88
,-1,173,4,-9,78
,-1,212,5,-8,80
,-1,252,6,-7,102
,-1,303,7,-6,74
,-1,340,8,-5,28
,-1,354,9,-4,92
,-1,400,10,-3,106
,-1,453,11,-2,154
,-1,530,12,-1,132
,-1,596,13,0,
,1,623,14,0,
,1,685,15,1,124
,1,718,16,2,66
,1,757,17,3,78
,1,794,18,4,74
,1,831,19,5,74
,1,881,20,6,100
,1,913,21,7,64
,1,945,22,8,64
,1,988,23,9,86
,1,1032,24,10,88
,1,1078,25,11,92
,1,1150,26,12,144
,1,1179,27,13,58
,1,1212,28,14,66
,,,,,
17_1,-1,31,0,-13,64
,-1,63,1,-12,64
,-1,95,2,-11,56
,-1,123,3,-10,72
,-1,159,4,-9,176
,-1,247,5,-8,68
,-1,281,6,-7,64
,-1,313,7,-6,78
,-1,352,8,-5,62
,-1,383,9,-4,88
,-1,427,10,-3,78
,-1,466,11,-2,86
,-1,509,12,-1,132
,-1,575,13,0,
,0,609,14,0,
,1,687,15,0,
,1,729,16,1,84
,1,774,17,2,90
,1,811,18,3,74
,,,,,
18_1,-1,11,0,-13,50
,-1,36,1,-12,54
,-1,63,2,-11,80
,-1,103,3,-10,68
,-1,137,4,-9,70
,-1,172,5,-8,118
,-1,231,6,-7,104
,-1,283,7,-6,54
,-1,310,8,-5,88
,-1,354,9,-4,110
,-1,409,10,-3,130
,-1,474,11,-2,172
,-1,560,12,-1,66
,-1,593,13,0,
,1,638,14,0,
,1,699,15,1,122
,1,750,16,2,102
,1,770,17,3,40
,1,794,18,4,48
,1,825,19,5,62
,1,872,20,6,94
,1,910,21,7,76
,1,950,22,8,80
,1,1005,23,9,110
,1,1038,24,10,66
,1,1079,25,11,82
,1,1117,26,12,76
,1,1165,27,13,96
,,,,,
22_1,-1,23,0,-14,58
,-1,52,1,-13,74
,-1,89,2,-12,42
,-1,110,3,-11,54
,-1,137,4,-10,98
,-1,186,5,-9,100
,-1,236,6,-8,44
,-1,258,7,-7,104
,-1,310,8,-6,100
,-1,360,9,-5,80
,-1,400,10,-4,44
,-1,422,11,-3,42
,-1,443,12,-2,60
,-1,473,13,-1,96
,-1,521,14,0,
,1,659,15,0,
,1,703,16,1,88
,1,724,17,2,42
,1,767,18,3,86
,1,808,19,4,82
,1,838,20,5,60
,1,863,21,6,50
,1,910,22,7,94
,1,930,23,8,40
,1,974,24,9,88
,1,1012,25,10,76
,1,1059,26,11,94
,1,1102,27,12,86
,1,1118,28,13,32
,,,,,
23_1,-1,28,0,-11,80
,-1,68,1,-10,112
,-1,124,2,-9,76
,-1,162,3,-8,64
,-1,194,4,-7,100
,-1,244,5,-6,120
,-1,304,6,-5,114
