Slice,Area,file,id_number,TxRed
83,479,1603,0,0.214999999999975
82,710,1603,0,2.670000000000016
81,602,1603,0,2.218999999999994
80,520,1603,0,1.6959999999999695
79,502,1603,0,4.06699999999995
78,455,1603,0,2.4490000000000123
77,385,1603,0,4.972000000000037
76,649,1603,0,1.6899999999999977
75,588,1603,0,2.557000000000073
74,561,1603,0,3.160000000000025
73,521,1603,0,3.086999999999989
72,449,1603,0,2.608000000000061
71,385,1603,0,1.4499999999999886
70,692,1603,0,3.5949999999999704
69,606,1603,0,3.7369999999999663
68,543,1603,0,2.0960000000000605
67,503,1603,0,3.8969999999999914
66,497,1603,0,4.715999999999951
65,465,1603,0,4.071000000000026
64,392,1603,0,5.7140000000000555
63,682,1603,0,4.277000000000044
62,665,1603,0,5.295000000000016
61,619,1603,0,5.275999999999954
60,557,1603,0,6.793999999999983
59,524,1603,0,8.069000000000017
58,523,1603,0,6.16599999999994
57,476,1603,0,9.815999999999974
56,447,1603,0,9.634999999999991
55,372,1603,0,11.147999999999968
54,376,1603,0,13.069000000000017
53,622,1603,0,10.010000000000048
52,567,1603,0,14.175999999999988
51,521,1603,0,14.896000000000015
50,455,1603,0,16.379999999999995
49,388,1603,0,21.16999999999996
48,593,1603,0,24.290999999999997
47,463,1603,0,33.54199999999997
46,443,1603,0,38.20999999999998
45,347,1603,0,42.43399999999991
44,578,1603,0,34.80000000000001
43,465,1603,0,38.644000000000005
42,427,1603,0,40.039000000000044
41,407,1603,0,40.03299999999996
40,418,1603,0,42.61200000000002
39,546,1603,0,52.57800000000009
38,505,1603,0,56.666000000000054
37,509,1603,0,55.81400000000002
36,439,1603,0,54.115999999999985
35,396,1603,0,56.625999999999976
34,379,1603,0,58.91399999999999
33,339,1603,0,-258.4840000000004
32,587,1603,0,-275.41799999999967
31,546,1603,0,-263.625
30,456,1603,0,56.355000000000075
29,435,1603,0,54.785000000000025
28,385,1603,0,51.087000000000046
27,327,1603,0,49.32400000000007
26,537,1603,0,57.410000000000025
25,454,1603,0,53.68199999999996
24,420,1603,0,49.55599999999998
23,360,1603,0,48.90199999999999
22,395,1603,0,49.377000000000066
